ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_idr,swap_idr,profit_idr,equity_idr,margin_level,close_reason
138138592,2026-02-16T01:06:00.410000,2026-02-16T01:06:24.144000,buy,0.01,0.01,XAUUSDm,5018.291,5019.608,5014.519,5023.016,0,0,22173.66,,,user
138172613,2026-02-16T02:13:59.745000,2026-02-16T02:35:23.172000,sell,0.01,0.01,XAUUSDm,5020.983,5015.735,5028.871,5015.735,0,0,88005.1,,,tp
139050928,2026-02-17T06:00:41.120000,2026-02-17T06:18:59.953000,buy,0.01,0.01,XAUUSDm,4892.084,4895.867,4885.559,4898.172,0,0,63716.97,,,user
139734986,2026-02-18T04:57:31.364000,2026-02-18T05:12:12.963000,sell,0.01,0.01,XAUUSDm,4933.163,4932.745,4941.713,4923.265,0,0,6907.04,,,user
140320133,2026-02-19T01:36:37.446000,2026-02-19T01:43:32.562000,buy,0.01,0.01,XAUUSDm,4970.343,4969.917,4965.05,4972.187,0,0,-7134.18,,,user
140320811,2026-02-19T01:37:45.441000,2026-02-19T01:43:32.626000,buy,0.01,0.01,XAUUSDm,4969.438,4969.917,4964.938,4972.031,0,0,8119.75,,,user
140323240,2026-02-19T01:45:21.227000,2026-02-19T01:45:27.630000,buy,0.01,0.01,XAUUSDm,4970.967,4971.2080000000005,,,0,0,4060.31,,,user
140327262,2026-02-19T01:56:30.725000,2026-02-19T01:57:41.257000,buy,0.01,0.01,XAUUSDm,4973.283,4974.032,4971.303,4975.379,0,0,12687.88,,,user
140506687,2026-02-19T08:42:55.339000,2026-02-19T08:44:03.958000,buy,0.01,0.01,XAUUSDm,5017.541,5019.596,5013.857,5019.596,0,0,34735.92,,,tp
140939246,2026-02-20T01:57:41.352000,2026-02-20T01:58:36.906000,buy,0.01,0.01,EURUSDm,1.17598,1.17581,1.17533,1.17709,0,0,-2883.23,,,user
140958917,2026-02-20T02:52:12.170000,2026-02-20T02:52:27.880000,sell,0.01,0.01,XAUUSDm,4997.17,4995.213,,,0,0,33028.23,,,user
140959956,2026-02-20T02:55:06.463000,2026-02-20T02:55:28.989000,buy,0.01,0.01,XAUUSDm,4994.891,4994.801,4991.606,4998.125,0,0,-1522.97,,,user
